EmployeeKey,EmployeeName,Department
192,Sophia King,Marketing
193,Charlotte Anderson,Marketing
194,Charlotte El Sayed,Sales
195,Faisal Wilson,Sales
196,Ibrahim Hall,Sales
197,Youssef Farouk,IT
198,Reem Shalaby,Customer Service
199,Sophia Scott,Logistics
200,Sherif Anderson,Sales
201,Farida Ibrahim,Sales
202,Amelia Moore,Customer Service
203,Mohamed Miller,Management
204,Bilal Moore,Marketing
205,Hana Davis,Sales
206,Nada Rashad,Sales
207,Doaa Jackson,Marketing
208,Daniel Moore,Finance
209,Mariam Walker,Customer Service
210,Rana Wilson,Logistics
211,Ava Al Dosari,Sales
212,Mariam Wright,Customer Service
213,Noura Clark,Sales
214,Laila Thomas,Customer Service
215,Aisha Youssef,Sales
216,Majed King,Sales
217,Isabella Hall,IT
218,Michael Ali,Customer Service
219,Fahad Miller,Sales 
220,Aisha Johnson,Logistics
221,Latifa Fahmy,Logistics
222,William Taylor,Sales
223,Noura Hall,Marketing
224,Sophia Moore,Customer Service
225,Doaa Walker,Sales
226,Salma Al Ghamdi,Marketing
227,Joseph Al Otaibi,Sales
228,Hassan Taylor,Sales
229,Tarek Abdelrahman,Logistics
230,Tarek Ibrahim,Finance
231,Dina Davis,Sales
232,Mostafa Wilson,Sales
233,Aya Farouk,Customer Service
234,Ahmed Brown,Customer Service
235,Olivia Saad,Finance
236,Khaled Al Dosari,Management
237,Omar Martin,Sales
238,Andrew Al Otaibi,Sales
239,Emily King,Sales
240,Hana Al Dosari,Sales
241,Mohamed Brown,Sales
242,Mostafa Hassan,Sales
243,Menna Mansour,IT
244,Dina Ali,Customer Service
245,Mostafa Miller,Customer Service
246,Nasser Wright,Customer Service
247,Nasser Scott,Sales
248,Sophia Mansour,Logistics
249,Sophia Zaki,Logistics
250,Ghada Hall,Sales
