CustomerKey,CustomerName,Gender,Age,City,Governorate,Country,CustomerSegment
28,  majed ibrahim,male,28,new cairo,Cairo,Egypt,Consumer
29,GRACE NASSER  ,Female,37,Port Said,Port Said,Egypt,Consumer
30,  Mia Wilson,Female,31,Riyadh,Riyadh,Saudi Arabia, Consumer
31,William Al Otaibi,Male,57,ALEXANDRIA,Alexandria,Egypt,Consumer
32,Majed El Sayed,male,19,New Cairo,Cairo,Egypt,Small Business
33,Ali Saad  ,Male,50,cairo,Cairo,Egypt,Corporate
34,Amira Mansour,Female,58,Dubai,Dubai,United Arab Emirates,Corporate
35,Sophia El Sayed,female,51,Cairo,Cairo,Egypt,VIP
36,Joseph Rashad,male,49,Cairo,Cairo,Egypt,Consumer
37,Ashraf Hassan,male,43,Cairo,Cairo,Egypt,Corporate
38,Amira Mahmoud,Female,26,Dubai,Dubai,United Arab Emirates,Consumer
39,Aisha Hassan,F,54,Alexandria,Alexandria,Egypt,Consumer
40,Bilal Farouk  ,M,64,Mecca,Makkah,Saudi Arabia,Consumer
41,Andrew Wright  ,male,30,Dubai,Dubai,United Arab Emirates,VIP
42,Sara Al Qahtani,female,53,Giza,Giza,Egypt,VIP
43,  Aya Youssef,F,57,Giza,Giza,Egypt,Consumer
44,  Dina Mansour,F,58,dubai,Dubai,United Arab Emirates,Consumer
45,Thomas Martin,Male,43,Riyadh,Riyadh,Saudi Arabia,Consumer
46,  Bilal Gaber,M,35,ZAGAZIG,Sharqia,Egypt,Small Business
47,Sophia Youssef,Female,21,abu dhabi,Abu Dhabi,United Arab Emirates,Consumer
48,Hossam El Sayed,M,46,Cairo,Cairo,Egypt,Small Business
49,Isabella Martin,F,58,Alexandria,Alexandria,Egypt,Small Business
50,Ahmed Ramadan,M,18,Kuwait City,Al Asimah,Kuwait,Consumer
51,MAHMOUD SHALABY,M,37,DAMMAM,Eastern Province,Saudi Arabia,Consumer
52,Wael Al Otaibi,Male,53,New Cairo,Cairo,Egypt,Consumer
53,John Hassan,Male,62,JEDDAH,Makkah,Saudi Arabia,Corporate
54,Noura Mostafa,F,31,ASSIUT,Assiut,Egypt,Consumer
55,James Thomas,Male,33,KUWAIT CITY,Al Asimah,Kuwait,Corporate
56,Noura Hassan,female,55,alexandria,Alexandria,Egypt,Consumer
57,Nada Ibrahim,female,58,mansoura,Dakahlia,Egypt,Consumer
58,Khaled El Sayed,M,50,6th of october,Giza,Egypt,Consumer
59,Laila Ali,female,32,Cairo,Cairo,Egypt,Consumer
60,Amira Ibrahim  ,female,34,CAIRO,Cairo,Egypt,Consumer
61,Tarek Farouk,M,24,Cairo,Cairo,Egypt,Corporate 
62,Shaimaa Khaled,female,52,Ismailia,Ismailia,Egypt,VIP
63,Mariam Hassan,female,63,CAIRO,Cairo,Egypt,Small Business
64,Majed Al Harbi,Male,32,Luxor,Luxor,Egypt,Consumer
65,Nasser Al Harbi,male,48,Cairo,Cairo,Egypt,Consumer
66,Charlotte  Clark,female,29,Alexandria,Alexandria,Egypt,Corporate
67,olivia king,F,30,RIYADH,Riyadh,Saudi Arabia,Consumer
68,Hana Khaled,Female,28,Aswan,Aswan,Egypt,Consumer
69,Shaimaa Shalaby,female,53,Cairo,Cairo,Egypt,Consumer
70,Wael Nasser  ,male,55,NEW CAIRO,Cairo,Egypt,Consumer
71,Fahad Youssef  ,Male,27,6th of October,Giza,Egypt,Small Business 
72,David Clark  ,M,27,DAMMAM,Eastern Province,Saudi Arabia,Small Business
73,Shaimaa El Sayed,F,65,ALEXANDRIA,Alexandria,Egypt,Small Business
74,Emma  Moore,female,30,Dubai,Dubai,United Arab Emirates,Small Business
75,James Walker  ,Male,41,6th of october,Giza,Egypt,Corporate
76,William Martin,M,27,Riyadh,Riyadh,Saudi Arabia,Consumer
77,Nasser Al Qahtani,M,21,6th of October,Giza,Egypt,Consumer
78,  Sara Saad,female,36,jeddah,Makkah,Saudi Arabia,Consumer
79,Thomas Young,male,58,Giza,Giza,Egypt,Small Business
80,NADA NASSER,Female,40,Mansoura,Dakahlia,Egypt,Consumer
81,Khaled Al Harbi,male,22,6th of October,Giza,Egypt,Consumer
82,Nasser Hassan,M,35,Alexandria,Alexandria,Egypt,Consumer
83,Nasser Mansour,male,56,RIYADH,Riyadh,Saudi Arabia,Corporate
84,Karim Mansour,male,62,tanta,Gharbia,Egypt,Small Business
85,Ahmed Gaber,M,27,Luxor,Luxor,Egypt,Consumer
86,Ali Khaled,male,61,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer
87,Isabella Abdelrahman,female,28,Doha,Doha,Qatar,Consumer
88,Joseph Smith,M,52,6th of October,Giza,Egypt,Corporate
89,Ava El Sayed,Female,32,Cairo,Cairo,Egypt,Consumer
90,David Rashad,male,58,Kuwait City,Al Asimah,Kuwait,Corporate
91,Michael Smith,male,27,Cairo,Cairo,Egypt,VIP
92,Hessa Salem,F,33,CAIRO,Cairo,Egypt,Consumer
93,HASSAN AL QAHTANI,M,19,riyadh,Riyadh,Saudi Arabia,VIP
94,dina shalaby,Female,48,New Cairo,Cairo,Egypt,Consumer
95,Laila Mahmoud,F,57,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer
96,Sultan Ramadan,Male,23,Assiut,Assiut,Egypt,Consumer
97,Doaa El Sayed,Female,42,mansoura,Dakahlia,Egypt,Small Business
98,Michael Mostafa,male,52,Dubai,Dubai,United Arab Emirates,VIP
99,Mia Farouk,female,49,JEDDAH,Makkah,Saudi Arabia,Corporate
100,Michael Jackson,M,45,Mansoura,Dakahlia,Egypt,VIP
101,Noura Al Harbi,female,54,Mansoura,Dakahlia,Egypt,Corporate
102,Hossam Al Otaibi,M,57,Dammam,Eastern Province,Saudi Arabia,Consumer 
103,Ava Scott  ,Female,34,Medina,Al Madinah,Saudi Arabia,Consumer
104,Ali Al Qahtani,Male,38,Giza,Giza,Egypt,Consumer
105,Mostafa Al Qahtani,male,19,DOHA,Doha,Qatar,Small Business
106,Heba Mansour,female,61,Cairo,Cairo,Egypt,Consumer
107,Youssef Al Qahtani  ,Male,41,RIYADH,Riyadh,Saudi Arabia,VIP
108,Emma Mahmoud,Female,22,Medina,Al Madinah,Saudi Arabia,Small Business
109,Latifa Fahmy,F,33,Sharjah,Sharjah,United Arab Emirates,Small Business
110,Sultan Shalaby,M,36,Alexandria,Alexandria,Egypt,Corporate
111,Sultan Farouk,Male,44,Cairo,Cairo,Egypt,Consumer
112,James Lewis,Male,20,6th of October,Giza,Egypt,Small Business
113,Wael Farouk,male,27,6th of October,Giza,Egypt,Consumer
114,Karim Zaki,male,54,Alexandria,Alexandria,Egypt,VIP
115,Ashraf Saad  ,M,51,Mansoura,Dakahlia,Egypt,Corporate
116,  William El Sayed,Male,43,Jeddah,Makkah,Saudi Arabia,Consumer
117,James Wright,Male,52,6th of October,Giza,Egypt,Consumer
118,THOMAS MARTIN,Male,56,sharjah,Sharjah,United Arab Emirates,Consumer
119,  Sherif Salem,M,48,Cairo,Cairo,Egypt,Consumer
120,Amr Shalaby,male,58,CAIRO,Cairo,Egypt,Consumer
121,Robert Brown,M,65,6th of October,Giza,Egypt,Consumer
122,Salma Nasser,F,23,Cairo,Cairo,Egypt,Consumer
123,Aisha Al Harbi,female,65,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer
124,Karim Gaber,M,53,Kuwait City,Al Asimah,Kuwait,Consumer
125,John Rashad,male,29,sharjah,Sharjah,United Arab Emirates,Consumer
126,Sophia Ramadan,F,65,6th of October,Giza,Egypt,Corporate
127,Faisal Abdelrahman,Male,53,abu dhabi,Abu Dhabi,United Arab Emirates,Corporate
128,Amelia Rashad,Female,20,Tanta,Gharbia,Egypt,Corporate
129,Ashraf Al Dosari,M,33,alexandria,Alexandria,Egypt,Consumer
130,NOUR AL OTAIBI,female,36,Riyadh,Riyadh,Saudi Arabia,Consumer
131,Farida Khaled,Female,28,alexandria,Alexandria,Egypt,VIP
132,William Johnson,M,37,Medina,Al Madinah,Saudi Arabia,Corporate
133,Faisal Nasser,M,21,Doha,Doha,Qatar,Consumer
134,Joseph Gaber  ,M,57,Riyadh,Riyadh,Saudi Arabia,Corporate
135,Bilal Saad,M,46,Cairo,Cairo,Egypt,Corporate
136,Ashraf Nasser,male,25,CAIRO,Cairo,Egypt,Small Business
137,Hessa Al Otaibi,Female,41,giza,Giza,Egypt,Small Business
138,Hessa Shalaby,Female,62,Dubai,Dubai,United Arab Emirates,Corporate
139,Ibrahim Mahmoud,Male,22,CAIRO,Cairo,Egypt,Corporate
140,Andrew Zaki,male,40,Alexandria,Alexandria,Egypt,Small Business
141,Ahmed El Sayed,male,34,suez,Suez,Egypt,VIP
142,Nasser Ali  ,Male,33,Giza,Giza,Egypt,Consumer
143,amelia youssef  ,Female,20,Doha,Doha,Qatar,Consumer
144,Ibrahim Mostafa,Male,63,New Cairo,Cairo,Egypt,Corporate
145,Sultan Al Ghamdi,male,64,6TH OF OCTOBER,Giza,Egypt,VIP
146,Sultan Al Qahtani,male,62,mecca,Makkah,Saudi Arabia,Consumer
147,Abdullah Ibrahim,Male,43,Dubai,Dubai,United Arab Emirates,Small Business
148,LAILA MOSTAFA,F,60,Medina,Al Madinah,Saudi Arabia,Consumer
149,SULTAN EL SAYED,M,42,Alexandria,Alexandria,Egypt,Consumer
150,Joseph Hassan,Male,44,NEW CAIRO,Cairo,Egypt,Corporate
151,Aya Al Otaibi,Female,42,Luxor,Luxor,Egypt,Consumer
152,Latifa Ali,female,48,Alexandria,Alexandria,Egypt,Consumer
153,Fahad Ali,Male,39,Medina,Al Madinah,Saudi Arabia,Consumer
154,reem salem,female,47,CAIRO,Cairo,Egypt,Corporate
155,Joseph Miller,Male,60,Dubai,Dubai,United Arab Emirates,Corporate 
156,Emily King,female,41,Ismailia,Ismailia,Egypt,Small Business
157,thomas saad,Male,55,DOHA,Doha,Qatar,Corporate
158,Hana  Al Harbi,Female,36,JEDDAH,Makkah,Saudi Arabia,Consumer
159,Hana Nasser,female,45,alexandria,Alexandria,Egypt,Consumer
160,Noura Farouk,female,47,Alexandria,Alexandria,Egypt,Consumer
161,  MONA AL DOSARI,female,28,CAIRO,Cairo,Egypt,Corporate
162,Dina Khaled,F,48,CAIRO,Cairo,Egypt,Consumer
163,Ava Jackson,F,45,SUEZ,Suez,Egypt,Consumer
164,Grace Fahmy,Female,19,Cairo,Cairo,Egypt, Consumer
165,Noura Zaki,Female,20,giza,Giza,Egypt,Corporate
166,Sameh Ali,male,58,DOHA,Doha,Qatar,Corporate
167,daniel brown,M,34,Kuwait City,Al Asimah,Kuwait,Small Business
168,Rana Al Qahtani,Female,29,Mansoura,Dakahlia,Egypt,Consumer
169,NASSER SHALABY,M,35,Tanta,Gharbia,Egypt,Consumer
170,Faisal Mostafa  ,M,43,sharjah,Sharjah,United Arab Emirates,Consumer
171,Abdullah Khaled,Male,40,Zagazig,Sharqia,Egypt,Consumer
172,Aya Saad,F,24,Tanta,Gharbia,Egypt,Consumer
173,  Youssef Mansour,M,44,GIZA,Giza,Egypt,Consumer
174,Hassan Hassan,Male,18,Cairo,Cairo,Egypt,VIP
175,Majed Al Otaibi  ,M,34,Zagazig,Sharqia,Egypt,Small Business
176,Fatima Zaki,female,49,zagazig,Sharqia,Egypt,Small Business
177,Menna Khaled,Female,32,MECCA,Makkah,Saudi Arabia,VIP
178,Fahad Al Otaibi,male,38,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer 
179,Majed Khaled,Male,19,Riyadh,Riyadh,Saudi Arabia,Corporate
180,Andrew Anderson,Male,60,Sharjah,Sharjah,United Arab Emirates,Small Business
181,Omar Abdelrahman,M,32,GIZA,Giza,Egypt,Small Business
182,Mariam Khaled,F,59,Cairo,Cairo,Egypt,Consumer
183,Khaled El Sayed,male,18,ALEXANDRIA,Alexandria,Egypt,Consumer
184,ABDULLAH AL DOSARI,male,54,abu dhabi,Abu Dhabi,United Arab Emirates,VIP
185,Sophia Anderson,F,44,Ismailia,Ismailia,Egypt,Small Business
186,Sultan Ali,male,31,Doha,Doha,Qatar,Small Business
187,Charlotte Gaber,Female,37,LUXOR,Luxor,Egypt,Small Business
188,Hana Al Otaibi,F,42,Jeddah,Makkah,Saudi Arabia,Corporate
189,  Khaled Hassan,male,35,Riyadh,Riyadh,Saudi Arabia,Corporate
190,wael ibrahim,male,19,Alexandria,Alexandria,Egypt,Corporate
191,ALI AL HARBI  ,M,26,6th of october,Giza,Egypt,Small Business
192,Doaa Mahmoud,Female,59,Assiut,Assiut,Egypt,VIP
193,Ava Jackson,Female,54,6th of october,Giza,Egypt,VIP
194,Noura Mahmoud,F,29,Mansoura,Dakahlia,Egypt,VIP
195,Isabella Walker,female,29,Riyadh,Riyadh,Saudi Arabia,Consumer
196,Khaled  Hassan,male,22,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer
197,  Amr Nasser,M,37,Jeddah,Makkah,Saudi Arabia,Corporate
198,Karim Mahmoud,male,49,GIZA,Giza,Egypt,Consumer
199,Bilal Al Dosari,M,34,Dubai,Dubai,United Arab Emirates,VIP
200,Ali Farouk,Male,32,Giza,Giza,Egypt,Consumer
201,William Abdelrahman,M,33,kuwait city,Al Asimah,Kuwait,Consumer
202,Nour Al Dosari,female,42,ALEXANDRIA,Alexandria,Egypt,VIP
203,Sophia Gaber,female,27,JEDDAH,Makkah,Saudi Arabia,Consumer
204,Hossam Nasser,male,22,SUEZ,Suez,Egypt,Consumer
205,  Robert Young,male,54,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer
206,Sameh Nasser,M,65,Giza,Giza,Egypt,Small Business
207,Mahmoud Ibrahim,M,59,ALEXANDRIA,Alexandria,Egypt,Small Business
208,mohamed farouk,male,31,Riyadh,Riyadh,Saudi Arabia,Consumer
209,thomas mahmoud,male,60,Jeddah,Makkah,Saudi Arabia,Consumer
210,Menna Hassan,female,54,aswan,Aswan,Egypt,Consumer
211,Amelia Mahmoud,female,60,MANSOURA,Dakahlia,Egypt,Consumer
212,Noura Ramadan,Female,41,NEW CAIRO,Cairo,Egypt,Consumer
213,William Miller,Male,22,new cairo,Cairo,Egypt,Consumer
214,Aisha Khaled,F,52,giza,Giza,Egypt,Consumer
215,Robert King,Male,44,riyadh,Riyadh,Saudi Arabia,Consumer
216,Isabella Johnson,F,24,Port Said,Port Said,Egypt,Corporate
217,Dina Ibrahim  ,Female,58,Dubai,Dubai,United Arab Emirates,Consumer
218,Mona Hassan,Female,52,Cairo,Cairo,Egypt,Small Business
219,Robert Al Otaibi,male,41,Port Said,Port Said,Egypt,Small Business
220,Ghada Zaki,female,62,ASSIUT,Assiut,Egypt,Corporate
221,Mia Jackson,female,40,Cairo,Cairo,Egypt,VIP
222,Emily Scott,female,48,Cairo,Cairo,Egypt,Corporate
223,  William Davis,M,19,giza,Giza,Egypt,Consumer
224,Mohamed Khaled,male,63,NEW CAIRO,Cairo,Egypt,Corporate
225,Mostafa Mahmoud,male,63,SHARJAH,Sharjah,United Arab Emirates,Small Business
226,Ghada Rashad,F,29,DOHA,Doha,Qatar,Corporate
227,FAISAL AL DOSARI  ,male,46,NEW CAIRO,Cairo,Egypt,Small Business
228,James King,Male,53,Kuwait City,Al Asimah,Kuwait,Corporate
229,Michael Taylor,male,26,Giza,Giza,Egypt,Consumer
230,Sameh Ali,male,22,Dubai,Dubai,United Arab Emirates, VIP
231,Aisha Al Qahtani,female,46,Medina,Al Madinah,Saudi Arabia,Small Business
232,Youssef  Fahmy,male,44,Giza,Giza,Egypt,Corporate
233,Amr Rashad,male,36,dammam,Eastern Province,Saudi Arabia,Corporate
234,Nour Zaki,F,52,Abu Dhabi,Abu Dhabi,United Arab Emirates,Small Business
235,Doaa Salem,Female,20,Cairo,Cairo,Egypt,Consumer
236,Sara Al Harbi,F,43,Cairo,Cairo,Egypt,Consumer
237,Aisha Youssef,Female,48,jeddah,Makkah,Saudi Arabia,VIP
238,SULTAN FAROUK,Male,23,MECCA,Makkah,Saudi Arabia,Consumer
239,Hana  Nasser,F,41,medina,Al Madinah,Saudi Arabia,Consumer
240,Ashraf Ramadan,M,52,zagazig,Sharqia,Egypt,Corporate
241,Khaled Al Harbi,M,47,New Cairo,Cairo,Egypt,Small Business
242,Mariam Fahmy,Female,62,Cairo,Cairo,Egypt,Consumer
243,Majed Gaber,male,39,tanta,Gharbia,Egypt,Consumer
244,nour al otaibi,F,45,ALEXANDRIA,Alexandria,Egypt,Small Business
245,Dina Hassan,Female,62,ABU DHABI,Abu Dhabi,United Arab Emirates,Corporate
246,Abdullah Ali,male,28,alexandria,Alexandria,Egypt,Small Business
247,Yasmin Al Otaibi,female,55,6TH OF OCTOBER,Giza,Egypt,Corporate
248,Nour Al Dosari,F,41,cairo,Cairo,Egypt,Consumer
249,Yasmin Shalaby,F,33,Mansoura,Dakahlia,Egypt,Consumer
250,Fahad Abdelrahman,M,42,GIZA,Giza,Egypt,VIP
251,James Miller,male,62,6th of October,Giza,Egypt,Corporate
252,Aya Mostafa,Female,34,MEDINA,Al Madinah,Saudi Arabia,Corporate
253,Noura Gaber  ,F,46,Zagazig,Sharqia,Egypt,Small Business
254,MONA ALI,female,43,Dubai,Dubai,United Arab Emirates,Corporate
255,Michael Wright,M,22,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer
256,Mostafa Al Qahtani,M,63,Cairo,Cairo,Egypt,VIP
257,Thomas Hassan,male,26,giza,Giza,Egypt,Consumer
258,  Joseph Mansour,male,34,Port Said,Port Said,Egypt,Consumer 
259,Emily Davis,Female,30,Tanta,Gharbia,Egypt,Corporate
260,Laila Saad,Female,56,6th of October,Giza,Egypt,Small Business
261,Amelia Gaber,Female,65,Cairo,Cairo,Egypt,Small Business
262,Amelia Nasser  ,female,41,Riyadh,Riyadh,Saudi Arabia,Consumer
263,Amr Saad,male,32,dubai,Dubai,United Arab Emirates,VIP
264,Ibrahim Al Dosari,male,64,New Cairo,Cairo,Egypt,Consumer
265,Robert  Al Dosari,male,34,SHARJAH,Sharjah,United Arab Emirates,VIP
266,Sameh Fahmy,M,59,Cairo,Cairo,Egypt, Consumer
267,Mia  Young,F,26,Suez,Suez,Egypt,Consumer 
268,Andrew Wilson,male,64,ABU DHABI,Abu Dhabi,United Arab Emirates,Small Business
269,Karim  Farouk,Male,65,Alexandria,Alexandria,Egypt,Small Business
270,Wael Shalaby,male,32,riyadh,Riyadh,Saudi Arabia,VIP
271,Joseph Taylor,male,60,Mansoura,Dakahlia,Egypt,Consumer
272,Sara Fahmy,female,57,dubai,Dubai,United Arab Emirates,Consumer
273,AMELIA SCOTT,Female,18,Doha,Doha,Qatar,Corporate
274,Bilal Al Dosari,male,28,Dubai,Dubai,United Arab Emirates,Small Business
275,Hossam Mostafa,Male,50,alexandria,Alexandria,Egypt,Consumer
276,Joseph Ramadan,male,35,Dubai,Dubai,United Arab Emirates,Consumer
277,Andrew Shalaby,M,21,MANSOURA,Dakahlia,Egypt,Small Business
278,Sophia Young,female,33,Alexandria,Alexandria,Egypt,Consumer
279,Sara Rashad,Female,43,alexandria,Alexandria,Egypt,Small Business
280,Aisha Mahmoud,Female,53,assiut,Assiut,Egypt,Small Business
281,Michael Jackson,Male,53,riyadh,Riyadh,Saudi Arabia,Small Business
282,Isabella Brown,Female,31,Dubai,Dubai,United Arab Emirates,Consumer
283,Omar Gaber,Male,20,Giza,Giza,Egypt,Consumer
284,Grace Taylor,F,52,Riyadh,Riyadh,Saudi Arabia,Consumer
285,Mostafa Al Qahtani,Male,42,6TH OF OCTOBER,Giza,Egypt,Consumer
286,Omar Al Ghamdi,M,44,Cairo,Cairo,Egypt,VIP
287,Latifa Shalaby,F,60,kuwait city,Al Asimah,Kuwait,Consumer
288,Andrew El Sayed  ,M,30,new cairo,Cairo,Egypt,Consumer
289,  Nada Mahmoud,Female,36,Cairo,Cairo,Egypt,Consumer
290,Isabella Khaled,Female,39,jeddah,Makkah,Saudi Arabia,Small Business
291,Laila Ibrahim,Female,51,Giza,Giza,Egypt,VIP
292,Reem Mansour,Female,57,Jeddah,Makkah,Saudi Arabia,Consumer
293,Ali  Khaled,M,59,TANTA,Gharbia,Egypt,Corporate
294,salma hassan,female,43,cairo,Cairo,Egypt,Corporate
295,Tarek Abdelrahman,M,42,MECCA,Makkah,Saudi Arabia,Small Business
296,FAHAD FAHMY  ,M,43,Cairo,Cairo,Egypt,Corporate
297,Sara Youssef,Female,20,Giza,Giza,Egypt,Consumer
298,sophia taylor,Female,53,Port Said,Port Said,Egypt,Consumer
299,Noura Al Otaibi,F,65,ISMAILIA,Ismailia,Egypt,Consumer
300,John Walker,male,26,alexandria,Alexandria,Egypt,Consumer
301,Noura Al Dosari,Female,26,Dubai,Dubai,United Arab Emirates,Consumer
302,Omar Al Qahtani,M,42,ALEXANDRIA,Alexandria,Egypt,Corporate
303,Aya Mostafa,Female,42,Medina,Al Madinah,Saudi Arabia,VIP
304,Dina Ali,female,42,Tanta,Gharbia,Egypt,Corporate
305,Khaled Rashad  ,male,19,Alexandria,Alexandria,Egypt,Corporate
306,William Miller,male,22,Cairo,Cairo,Egypt,Consumer
307,William Smith,male,61,NEW CAIRO,Cairo,Egypt,Small Business
308,Hana Ibrahim,female,43,CAIRO,Cairo,Egypt,Consumer
309,Mariam  Hassan,Female,22,kuwait city,Al Asimah,Kuwait,Corporate
310,  Ahmed Youssef,male,63,assiut,Assiut,Egypt,Consumer
311,Thomas Al Dosari,male,57,Alexandria,Alexandria,Egypt,Corporate
312,Thomas Jackson,Male,48,Mansoura,Dakahlia,Egypt,Corporate
313,David Taylor  ,M,46,Alexandria,Alexandria,Egypt,Consumer
314,Emma  Hall,female,26,MANSOURA,Dakahlia,Egypt,Corporate
315,Latifa Salem,female,53,giza,Giza,Egypt, Small Business
316,Heba Shalaby,Female,20,Mansoura,Dakahlia,Egypt,VIP
317,Fatima Mansour,F,26,Dubai,Dubai,United Arab Emirates,Consumer
318,Isabella Johnson,female,31,Dammam,Eastern Province,Saudi Arabia,Consumer
319,charlotte salem,female,34,Giza,Giza,Egypt,Consumer
320,yasmin gaber,female,60,Giza,Giza,Egypt,Corporate
321,AMELIA LEWIS,F,53,mansoura,Dakahlia,Egypt,Consumer
322,Salma Rashad,female,65,Abu Dhabi,Abu Dhabi,United Arab Emirates,VIP
323,Latifa Mostafa,Female,49,ismailia,Ismailia,Egypt,Consumer
324,Emily Walker,F,27,ASSIUT,Assiut,Egypt,Consumer
325,Michael Taylor,M,28,Doha,Doha,Qatar,Consumer
326,Reem Gaber,Female,48,RIYADH,Riyadh,Saudi Arabia, Consumer
327,Mariam Zaki,F,42,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer
328,Emily Johnson,Female,49,GIZA,Giza,Egypt,Consumer 
329,  Ahmed Ali,Male,25,Ismailia,Ismailia,Egypt,Consumer
330,Mia Rashad,Female,60,Abu Dhabi,Abu Dhabi,United Arab Emirates,Consumer
331,John Ibrahim,Male,63,ASSIUT,Assiut,Egypt,Consumer
332,Nour Fahmy,F,37,Mansoura,Dakahlia,Egypt,Small Business 
333,ALI IBRAHIM,Male,19,luxor,Luxor,Egypt,Consumer
334,sultan saad,M,37,jeddah,Makkah,Saudi Arabia,Small Business
335,Mahmoud Ali,Male,57,Jeddah,Makkah,Saudi Arabia,Consumer
336,Ahmed Shalaby  ,Male,25,DAMMAM,Eastern Province,Saudi Arabia,Consumer
337,Joseph Brown,M,28,new cairo,Cairo,Egypt,VIP
338,Majed Shalaby,Male,61,cairo,Cairo,Egypt,Corporate
339,Ahmed Saad,M,42,Dammam,Eastern Province,Saudi Arabia,Corporate
340,Andrew Brown,M,28,ALEXANDRIA,Alexandria,Egypt,Corporate 
341,sameh  mansour,Male,36,NEW CAIRO,Cairo,Egypt,Small Business
342,laila rashad,Female,19,Kuwait City,Al Asimah,Kuwait, Corporate
343,Reem Khaled,female,58,giza,Giza,Egypt,Consumer
344,Shaimaa Ali  ,F,49,Dubai,Dubai,United Arab Emirates,Consumer
345,sara youssef,Female,38,Dubai,Dubai,United Arab Emirates,Consumer
346,Charlotte Davis,F,48,Giza,Giza,Egypt,Corporate
347,Yasmin Al Dosari  ,F,20,Alexandria,Alexandria,Egypt,Consumer
348,Mia Al Ghamdi,female,50,DAMMAM,Eastern Province,Saudi Arabia,Corporate
349,Nour Khaled,female,24,Giza,Giza,Egypt, Corporate
350,Sultan Saad,male,38,Jeddah,Makkah,Saudi Arabia,Consumer
351,Olivia Johnson  ,female,39,Suez,Suez,Egypt,Consumer
352,Joseph Farouk,Male,45,Riyadh,Riyadh,Saudi Arabia,Small Business
353,Mahmoud Khaled,male,30,Dubai,Dubai,United Arab Emirates,Consumer
354,Aisha Rashad,F,47,DUBAI,Dubai,United Arab Emirates,Consumer
355,Mohamed Rashad,Male,31,Alexandria,Alexandria,Egypt,Consumer
356,Fahad Al Ghamdi,Male,50,suez,Suez,Egypt,Consumer
357,Ava Smith,Female,21,GIZA,Giza,Egypt,Small Business
358,reem al otaibi,female,64,Sharjah,Sharjah,United Arab Emirates,Consumer
359,Mostafa Ali,male,26,ASWAN,Aswan,Egypt,Consumer
360,Sherif Abdelrahman,male,33,Dubai,Dubai,United Arab Emirates,VIP
361,Sherif Salem,M,44,dubai,Dubai,United Arab Emirates,Small Business
362,Michael Walker,Male,58,Ismailia,Ismailia,Egypt,Consumer
363,Mohamed Ibrahim,male,45,kuwait city,Al Asimah,Kuwait,Consumer
364,Ahmed Mostafa,M,50,dubai,Dubai,United Arab Emirates,Consumer
365,Noura Zaki,Female,49,GIZA,Giza,Egypt,Consumer
366,Majed Al Qahtani,M,51,DUBAI,Dubai,United Arab Emirates,Consumer
